X,Y,DATA,ORA,LUOGO,Incidenti,lon,lat
13.3674481320122,38.1111032960631,15/01/2016,21.300000000000001,VIA LINCOLN intersezione con VIA GREGORIO ROSARIO,C,13.367448,38.111103
13.3242209186218,38.1005996758812,16/01/2016,1.000000000000000,CORSO CALATAFIMI intersezione VIA PAULSEN,C,13.324221,38.100600
13.3360742612902,38.1762403858198,16/01/2016,3.300000000000000,VIALE MARGHERITA DI SAVOIA intersezione con VIA,F,13.336074,38.176240
13.3551894624561,38.1318302688419,16/01/2016,4.000000000000000,VIA DELLE CROCI intersezione con VIA ORSINI VINCENZO,F,13.355189,38.131830
13.368692105807,38.0987655578903,16/01/2016,8.000000000000000,VIA FANARO ANTONIO intersezione con VIA VIVIANO,C,13.368692,38.098766
13.3876795198511,38.0987663911176,16/01/2016,21.449999999999999,VIA CIRINCIONE GIUSEPPE intersezione con VIA PIANELL,C,13.387680,38.098766
13.330179261021,38.1053705928021,17/01/2016,14.250000000000000,VIALE REGIONE SICILIANA N.O. pressi VIA PAGANO,F,13.330179,38.105371
13.3550902788776,38.1164279769339,17/01/2016,17.399999999999999,PIAZZETTA S.COSMO in prossimità di PRESSI,F,13.355090,38.116428
13.3368025934214,38.1426915989594,16/01/2016,10.100000000000000,VIA RESTIVO EMPEDOCLE altezza del civico 10/a,R,13.336803,38.142692
13.3657398990522,38.1212176652201,14/01/2016,8.100000000000000,VIA CRISPI FRANCESCO di fronte al civico 290,F,13.365740,38.121218
13.3277519647958,38.1552693732875,15/01/2016,14.199999999999999,VIALE STRASBURGO intersezione VIA FINLANDIA,C,13.327752,38.155269
13.3514617587865,38.1098887047226,14/01/2016,20.460000000000001,PIAZZA INDIPENDENZA altezza del civico 25,C,13.351462,38.109889
13.3198002017503,38.155146827128,16/01/2016,15.449999999999999,VIA NENNI PIETRO altezza del civico 27,F,13.319800,38.155147
13.3228964925165,38.1116380492571,14/01/2016,9.000000000000000,VIA DEL PRETE CARLO altezza del civico 40,F,13.322896,38.111638
13.3629325034062,38.1090128125558,16/01/2016,23.199999999999999,VIA PISACANE CARLO intersezione VIA MARINUZZI,F,13.362933,38.109013
13.3454641328925,38.0890865355784,17/01/2016,8.150000000000000,VIALE REGIONE SICILIANA S.E. carr. centrale 2068,F,13.345464,38.089087
13.4034397667009,38.0998107515648,17/01/2016,10.250000000000000,VIA MESSINA MARINE altezza del civico 451,F,13.403440,38.099811
13.4084214928387,38.098319330551,18/01/2016,8.449999999999999,VIA MESSINA MARINE altezza del civico 437,F,13.408421,38.098319
13.3506256725896,38.1252508410501,18/01/2016,8.449999999999999,VIA DE SPUCHES GIUSEPPE intersezione con VIA,F,13.350626,38.125251
13.3326248449987,38.1648008308094,16/01/2016,4.450000000000000,VIA DEI QUARTIERI pressi n.21/l,C,13.332625,38.164801
13.3662671176163,38.1108705930675,18/01/2016,10.000000000000000,PIAZZA GIULIO CESARE altezza del civico 14,F,13.366267,38.110871
13.330357797939,38.103039114483,18/01/2016,15.500000000000000,VIALE REGIONE SICILIANA N.O. carr. laterale DIR. TP ALT.,F,13.330358,38.103039
13.3316248998054,38.1470788780865,18/01/2016,16.000000000000000,VIA DELLE MADONIE di fronte al civico 7,F,13.331625,38.147079
13.3994202381282,38.1010987936235,18/01/2016,17.100000000000001,VIA MESSINA MARINE altezza del civico 195,F,13.399420,38.101099
13.3091713322089,38.0944993944434,18/01/2016,22.300000000000001,CORSO CALATAFIMI altezza del civico 1062,C,13.309171,38.094499
13.3595147772314,38.1434887454996,19/01/2016,3.300000000000000,VIA JUVARA ALOISIO intersezione con VIA RIZZO,F,13.359515,38.143489
