X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2528159536542,43.7817858514849,417184,2011,AGOSTO,LUNEDI',21.00,VLE FILIPPO STROZZI,AGOSTO,LUNEDÌ,2011/08/22,21.00,VLE FILIPPO STROZZI,,VLE SPARTACO LAVAGNINI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2552650545613,43.7715143688787,417450,2011,SETTEMBRE,DOMENICA,09.50,VIA DEGLI SPEZIALI,SETTEMBRE,DOMENICA,2011/09/04,09.50,VIA DEGLI SPEZIALI,,VIA DEI CALZAIOLI,VELOCIPEDE,
11.2177819724664,43.7795810458385,417131,2011,AGOSTO,MERCOLEDI',15.00,LNO DEI PIOPPI,AGOSTO,MERCOLEDÌ,2011/08/17,15.00,LNO DEI PIOPPI,,PASERELLA PEDONALE ISOLOTTO,VELOCIPEDE,MOTOCICLO A SOLO
11.2525358895193,43.7826453891436,416353,2011,GIUGNO,SABATO,03.30,VLE FILIPPO STROZZI,GIUGNO,SABATO,2011/06/25,03.30,VLE FILIPPO STROZZI,,VIA LORENZO IL MAGNIFICO,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2378484952188,43.7907634261369,417259,2011,AGOSTO,DOMENICA,00.10,VIA DEL PONTE DI MEZZO,AGOSTO,DOMENICA,2011/08/28,00.10,VIA DEL PONTE DI MEZZO,,VIA DEL MASSAIO,AUTOVETTURA PUBBLICA,VELOCIPEDE
11.2958764797641,43.7598244375787,417372,2011,SETTEMBRE,MERCOLEDI',19.00,VIA GRAN BRETAGNA,SETTEMBRE,MERCOLEDÌ,2011/09/07,19.00,VIA GRAN BRETAGNA,34,,VELOCIPEDE,
11.2698320639196,43.7660018702163,415430,2011,MAGGIO,MERCOLEDI',00.10,LNO G. PECORI GIRALDI,MAGGIO,MERCOLEDÌ,2011/05/04,00.10,LNO G. PECORI GIRALDI,,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2243822159182,43.7727106198573,416503,2011,LUGLIO,GIOVEDI',15.00,VIA BRONZINO,LUGLIO,GIOVEDÌ,2011/07/07,15.00,VIA BRONZINO,157,,MOTOCICLO A SOLO,VELOCIPEDE
11.2458199930474,43.7770265818027,417319,2011,SETTEMBRE,SABATO,11.30,VIA LUIGI ALAMANNI,SETTEMBRE,SABATO,2011/09/03,11.30,VIA LUIGI ALAMANNI,37r,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2403686912304,43.7825976165043,416636,2011,LUGLIO,GIOVEDI',18.15,VIA BENEDETTO MARCELLO,LUGLIO,GIOVEDÌ,2011/07/14,18.15,VIA BENEDETTO MARCELLO,41,VIA BARTOLOMM. CRISTOFORI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2608594975472,43.7767685131584,418392,2011,NOVEMBRE,MARTEDI',14.30,PZA SANTISSIMA ANNUNZIATA,NOVEMBRE,MARTEDÌ,2011/11/01,14.30,PZA SANTISSIMA ANNUNZIATA,,,VELOCIPEDE,
11.2725936449673,43.7634491624307,416990,2011,AGOSTO,MARTEDI',17.25,VIA GIAMPAOLO ORSINI,AGOSTO,MARTEDÌ,2011/08/02,17.25,VIA GIAMPAOLO ORSINI,121/R,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2656785462594,43.7717284691013,416252,2011,GIUGNO,MERCOLEDI',09.10,VIA DI MEZZO,GIUGNO,MERCOLEDÌ,2011/06/22,09.10,VIA DI MEZZO,7,,VELOCIPEDE,QUADRICICLO
11.2730539813607,43.7690501804709,417194,2011,AGOSTO,MARTEDI',13.00,VIA GIOTTO,AGOSTO,MARTEDÌ,2011/08/23,13.00,VIA GIOTTO,,VIA CIMABUE,VELOCIPEDE,MOTOCICLO A SOLO
11.2323458813471,43.8045889857937,417648,2011,SETTEMBRE,MARTEDI',18.15,VIA DELLE TRE PIETRE,SETTEMBRE,MARTEDÌ,2011/09/20,18.15,VIA DELLE TRE PIETRE,,,MOTOCICLO A SOLO,VELOCIPEDE
11.24539461876,43.7741425262547,415650,2011,MAGGIO,VENERDI',05.30,VIA PALAZZUOLO,MAGGIO,VENERDÌ,2011/05/13,05.30,VIA PALAZZUOLO,120r,VIA MASO FINIGUERRA,AUTOCARRO,VELOCIPEDE
11.1970083690703,43.7639784025922,417565,2011,SETTEMBRE,LUNEDI',19.30,VLE PIETRO NENNI,SETTEMBRE,LUNEDÌ,2011/09/19,19.30,VLE PIETRO NENNI,,,VELOCIPEDE,
11.2535216771971,43.7702502694121,415675,2011,MAGGIO,MARTEDI',10.40,VIA PORTA ROSSA,MAGGIO,MARTEDÌ,2011/05/17,10.40,VIA PORTA ROSSA,,PELLICCERIA,VELOCIPEDE,
11.2772661091334,43.7667292619727,416864,2011,LUGLIO,LUNEDI',16.25,VIA ARNOLFO,LUGLIO,LUNEDÌ,2011/07/25,16.25,VIA ARNOLFO,,VIA PIAGENTINA,AUTOBUS DI LINEA O NON IN EXTRAURBANA,VELOCIPEDE
11.2713484484063,43.7825240387495,417052,2011,AGOSTO,LUNEDI',10.00,PZA GIORGIO VASARI,AGOSTO,LUNEDÌ,2011/08/08,10.00,PZA GIORGIO VASARI,,,VELOCIPEDE,VELOCIPEDE
11.2450136494641,43.7977506609611,415149,2011,APRILE,GIOVEDI',20.20,VIA DINO DEL GARBO,APRILE,GIOVEDÌ,2011/04/14,20.20,VIA DINO DEL GARBO,FR. 2A,PROSSIMITÀ VIA TADDEO ALDEROTTI,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2444566895486,43.7732862009135,417716,2011,SETTEMBRE,MARTEDI',16.05,BORGO OGNISSANTI,SETTEMBRE,MARTEDÌ,2011/09/27,16.05,BORGO OGNISSANTI,,VIA MELEGNANO,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2711388074347,43.7851369239699,418257,2011,OTTOBRE,VENERDI',12.00,VLE DEI MILLE,OTTOBRE,VENERDÌ,2011/10/21,12.00,VLE DEI MILLE,148,,VELOCIPEDE,
11.2595211765045,43.7832386921782,415907,2011,GIUGNO,MERCOLEDI',14.33,VLE SPARTACO LAVAGNINI,GIUGNO,MERCOLEDÌ,2011/06/01,14.33,VLE SPARTACO LAVAGNINI,11a,,VELOCIPEDE,VELOCIPEDE
11.2406239410404,43.7786667442936,415530,2011,MAGGIO,DOMENICA,12.20,PLE DI PORTA AL PRATO,MAGGIO,DOMENICA,2011/05/08,12.20,PLE DI PORTA AL PRATO,14,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2301818447245,43.7887597184914,415564,2011,MAGGIO,MARTEDI',17.40,VIA MARAGLIANO,MAGGIO,MARTEDÌ,2011/05/10,17.40,VIA MARAGLIANO,110,,VELOCIPEDE,
11.2544141130498,43.7796732164784,416207,2011,GIUGNO,GIOVEDI',14.40,VIA VENTISETTE APRILE,GIUGNO,GIOVEDÌ,2011/06/16,14.40,VIA VENTISETTE APRILE,,PZA DELL'INDIPENDENZA,VELOCIPEDE,AUTOVETTURA PUBBLICA
